word,part_of_speech,meaning,example,meaning_original,original_meaning
dụ́wẹị-ịyaụ,n.,"inedible herb, fruits used for feeding fowls at Government Agriculture farms LEGUMINOSAE-PAPILIONIOIDEAE)",,"inedible herb, fruits used for feeding fowls at Government Agriculture farms (Psophocarpus palustris Desv. or Calopogonium mucuncides Desv.) LEGUMINOSAE-PAPILIONIOIDEAE) (lit. ‘dead-men’s yam-bean’) (=dụ́wẹị-agụa =kẹnị-ángà) [Do the 3 names refer to the same plant?]","inedible herb, fruits used for feeding fowls at Government Agriculture farms LEGUMINOSAE-PAPILIONIOIDEAE)"
dụ́wẹị-opuru,n.,discoloured species of,,discoloured species of,discoloured species of
dụ́wẹị-ọvụrụn,n.,large poisonous hairy spider,,large poisonous hairy spider; tarantula [‘dead-men’s spider’],large poisonous hairy spider
dụ́wẹị-ọvụrụn,n.,tarantula,,large poisonous hairy spider; tarantula [‘dead-men’s spider’],tarantula
ebéle,n.,wide drum beaten with the two hands during masquerade or wrestling,,wide drum beaten with the two hands during masquerade or wrestling,wide drum beaten with the two hands during masquerade or wrestling
Ebieré,n.,female personal name,,female personal name [‘beautiful woman’],female personal name
ebieré-tòmu-teighá,n.,cocoyam,,cocoyam [‘a beautiful woman does not go to the open place’],cocoyam
Ebiíbòmọ́,n.,personal name,,personal name [‘Come with fortune’],personal name
Ebiísẹẹ,n.,personal name,,"personal name [‘When you are better off, you are for all’]",personal name
Ebiízìimọ́,n.,personal name,,personal name [‘Born to fortune’],personal name
Ebikíyè,n.,male personal name,,male personal name [‘It is the good that is something’],male personal name
Ebikí-ìneí,n.,personal name,,personal name [‘It is the good that is mine’],personal name
Ebikọ́ọ̀bó,n.,personal name,,personal name [‘Come in a good way’],personal name
Ebimịẹ́,n.,personal name,,personal name [‘Do good’],personal name
Ebiní-ịmịẹ́,n.,personal name,,personal name [‘Do good to me’],personal name
Ebipaadọ́,n.,personal name,,personal name [‘Something good has come out’],personal name
ebirí,n.,gale,,gale; storm (cf. kíma),gale
ebirí,n.,storm,,gale; storm (cf. kíma),storm
Ebitẹmẹ́,n.,"Holy Ghost, Holy Spirit",,"Holy Ghost, Holy Spirit","Holy Ghost, Holy Spirit"
Ebitimí,n.,personal name,,personal name [‘good living’],personal name
ebulú¹,n.,"fleece, mane, round the neck of a ram",,"A. fleece, mane, round the neck of a ram; B. head-covering made from this, used by warriors","fleece, mane, round the neck of a ram"
ebulú¹,n.,"head-covering made from this, used by warriors",,"A. fleece, mane, round the neck of a ram; B. head-covering made from this, used by warriors","head-covering made from this, used by warriors"
ebulú²,n.,the flower of a certain grass,,the flower of a certain grass,the flower of a certain grass
edé,n.,screwpine,,"screwpine (Pandanus candelabrum P. Beauv. PANDANACEAE), from which materials are got for weaving agbunú; edé dàị make thread out of screwpine ready for weaving ededé see odedé flower",screwpine
edé dàị,n.,make thread out of screwpine ready for weaving,,"screwpine (Pandanus candelabrum P. Beauv. PANDANACEAE), from which materials are got for weaving agbunú; edé dàị make thread out of screwpine ready for weaving ededé see odedé flower",make thread out of screwpine ready for weaving
edédegu,n.,audience,,audience; edédegu sẹ̀ the whole audience,audience
edédegu,n.,a large quantity,Fíỵaị ededegu ki ọ̀ mọọ́ akì ḅ ómi They brought a large quantity of food; edédegu sẹ̀ the whole audience,a large quantity,a large quantity
edelé,n.,"temporary canopy, traditionally of wooden posts supporting a covering of mats, erected in the open for a ceremony",,"temporary canopy, traditionally of wooden posts supporting a covering of mats, erected in the open for a ceremony","temporary canopy, traditionally of wooden posts supporting a covering of mats, erected in the open for a ceremony"
edídi,n.,"sudden feeling of cold, accompanied by a rise in temperature, preceding a fever",Edídi ì ḳ ọrịyémèé I feel cold and shivery.,"sudden feeling of cold, accompanied by a rise in temperature, preceding a fever; (medical) rigor","sudden feeling of cold, accompanied by a rise in temperature, preceding a fever"
edídi,n.,rigor,Edídi ì ḳ ọrịyémèé I feel cold and shivery.,"sudden feeling of cold, accompanied by a rise in temperature, preceding a fever; (medical) rigor",rigor
edidụnụ́,n.,muscle contraction,,muscle contraction,muscle contraction
ediedié,n.,astonishment,,astonishment; perplexity; ediedié kọ̀rí ̣to be puzzled,astonishment
ediedié,n.,perplexity,,astonishment; perplexity; ediedié kọ̀rí ̣to be puzzled,perplexity
ediedié kọ̀rí ̣,n.,to be puzzled,,astonishment; perplexity; ediedié kọ̀rí ̣to be puzzled,to be puzzled
edií¹,n.,"throbbing, usually taken as an omen",Tọ́rụ ẹkẹ̀kẹ edi ịnọọ dụnụyémi I feel my eyebrow throbbing.,"throbbing, usually taken as an omen (for good or bad); ebi edí good omen; sei edí bad omen; edi dụnụ́ (of throbbing) be felt","throbbing, usually taken as an omen"
ebi edí,n.,good omen,Tọ́rụ ẹkẹ̀kẹ edi ịnọọ dụnụyémi I feel my eyebrow throbbing.,"throbbing, usually taken as an omen (for good or bad); ebi edí good omen; sei edí bad omen; edi dụnụ́ (of throbbing) be felt",good omen
sei edí,n.,bad omen,Tọ́rụ ẹkẹ̀kẹ edi ịnọọ dụnụyémi I feel my eyebrow throbbing.,"throbbing, usually taken as an omen (for good or bad); ebi edí good omen; sei edí bad omen; edi dụnụ́ (of throbbing) be felt",bad omen
edi dụnụ́,n.,be felt,Tọ́rụ ẹkẹ̀kẹ edi ịnọọ dụnụyémi I feel my eyebrow throbbing.,"throbbing, usually taken as an omen (for good or bad); ebi edí good omen; sei edí bad omen; edi dụnụ́ (of throbbing) be felt",be felt
edií²,n.,patience,,patience; edi poú (=eti poú) be patient; edi kpeké be nervous [Can the head-word also be etií?],patience
edi poú ,n.,be patient,,patience; edi poú (=eti poú) be patient; edi kpeké be nervous [Can the head-word also be etií?],be patient
edi kpeké,n.,be nervous,,patience; edi poú (=eti poú) be patient; edi kpeké be nervous [Can the head-word also be etií?],be nervous
edií³,n.,fish-trap,,fish-trap; edi pịtẹ́ set such a fish-trap [Is this different from edíe (=odíi) fishcage- trap?],fish-trap
edi pịtẹ́ ,n.,set such a fish-trap,,fish-trap; edi pịtẹ́ set such a fish-trap [Is this different from edíe (=odíi) fishcage- trap?],set such a fish-trap
efénù,n.,a very light top,,a very light top (ọgbọ́lọ̀),a very light top
egbé¹,n.,freshwater swamp snail used as bait for fish,,freshwater swamp snail used as bait for fish; apple snail (Pila sp(p). and Lanistes ovum); bíḅ ị-finigha-ègbe taciturn person[?],freshwater swamp snail used as bait for fish
egbé¹,n.,apple snail,,freshwater swamp snail used as bait for fish; apple snail (Pila sp(p). and Lanistes ovum); bíḅ ị-finigha-ègbe taciturn person[?],apple snail
bíḅ ị-finigha-ègbe,n.,taciturn person,,freshwater swamp snail used as bait for fish; apple snail (Pila sp(p). and Lanistes ovum); bíḅ ị-finigha-ègbe taciturn person[?],taciturn person
egbé²,n.,opportunity to indulge in a favourite activity,Fíỵaị egbe fìniídọụ wèé He is overeating (as usual); Sẹ́ị egbe fìniídọ He is indulging in dancing (as usual); Andá egbe fìniídọụ wèé He is wrestlingat his best; yóu egbe indulging in one’s habit of crying (of child),opportunity to indulge in a favourite activity; egbé fìnií (of opportunity) be there,opportunity to indulge in a favourite activity
egbé fìnií,n.,be there,Fíỵaị egbe fìniídọụ wèé He is overeating (as usual); Sẹ́ị egbe fìniídọ He is indulging in dancing (as usual); Andá egbe fìniídọụ wèé He is wrestlingat his best; yóu egbe indulging in one’s habit of crying (of child),opportunity to indulge in a favourite activity; egbé fìnií (of opportunity) be there,be there
egbé³,n.,"container of fruit, foetus",Beriba egbé dụnụdọ The plantain has developed its inflorescence (before the bracts open); zii egbé cervix: Ará zii egbe fìniídọ She is now regularly giving birth (after a period of dormancy). egbé4 see under puloú,"container of fruit, foetus","container of fruit, foetus"
egbelegbélè,n.,musical instrument made from horn of animal or from metal,,musical instrument made from horn of animal or from metal; bugle; trumpet; egbelegbélè bine blow horn,musical instrument made from horn of animal or from metal
egbelegbélè,n.,bugle,,musical instrument made from horn of animal or from metal; bugle; trumpet; egbelegbélè bine blow horn,bugle
egbelegbélè,n.,trumpet,,musical instrument made from horn of animal or from metal; bugle; trumpet; egbelegbélè bine blow horn,trumpet
egbelegbélè,n.,bine blow horn,,musical instrument made from horn of animal or from metal; bugle; trumpet; egbelegbélè bine blow horn,bine blow horn
egberí,n.,word,"Egberí dụ̀ba naá gba dẹnghịya, gbá ghọ paaghà When a story surpasses telling, it is beyond words.",word; news; story; history; egberi gbaá tell story; egberi lulumọ́ exaggerate a story; oru egbérì history,word
egberí,n.,news,"Egberí dụ̀ba naá gba dẹnghịya, gbá ghọ paaghà When a story surpasses telling, it is beyond words.",word; news; story; history; egberi gbaá tell story; egberi lulumọ́ exaggerate a story; oru egbérì history,news
egberí,n.,story,"Egberí dụ̀ba naá gba dẹnghịya, gbá ghọ paaghà When a story surpasses telling, it is beyond words.",word; news; story; history; egberi gbaá tell story; egberi lulumọ́ exaggerate a story; oru egbérì history,story
egberí,n.,history,"Egberí dụ̀ba naá gba dẹnghịya, gbá ghọ paaghà When a story surpasses telling, it is beyond words.",word; news; story; history; egberi gbaá tell story; egberi lulumọ́ exaggerate a story; oru egbérì history,history
egberi gbaá ,n.,tell story,"Egberí dụ̀ba naá gba dẹnghịya, gbá ghọ paaghà When a story surpasses telling, it is beyond words.",word; news; story; history; egberi gbaá tell story; egberi lulumọ́ exaggerate a story; oru egbérì history,tell story
egberi lulumọ́ ,n.,exaggerate a story,"Egberí dụ̀ba naá gba dẹnghịya, gbá ghọ paaghà When a story surpasses telling, it is beyond words.",word; news; story; history; egberi gbaá tell story; egberi lulumọ́ exaggerate a story; oru egbérì history,exaggerate a story
oru egbérì,n.,history,"Egberí dụ̀ba naá gba dẹnghịya, gbá ghọ paaghà When a story surpasses telling, it is beyond words.",word; news; story; history; egberi gbaá tell story; egberi lulumọ́ exaggerate a story; oru egbérì history,history
Egbérì,n.,male personal name,,male personal name [‘story’?],male personal name
Egberibíìn,n.,male personal name,,male personal name [‘story’??],male personal name
Egberipóù,n.,male personal name,,male personal name [‘listen to a story’?],male personal name
egelegeé,n.,a word of exclamation,,? a word of exclamation,a word of exclamation
egí,n.,ganglion,,ganglion,ganglion
egúe,n.,"bird, possibly a red-breasted bush- shrike",,"bird, possibly a red-breasted bush- shrike (LANIIDAE)","bird, possibly a red-breasted bush- shrike"
eké,n.,"tree producing a very light wood, used mostly for making drums and utensils",,"tree producing a very light wood, used mostly for making drums and utensils","tree producing a very light wood, used mostly for making drums and utensils"
ekeké,n.,a style of shaving the hair whereby the hair near the ears is merely shaved round with no trimming,,a style of shaving the hair (of boys) whereby the hair near the ears is merely shaved round with no trimming; ekeke pẹlẹ́ shave in this way,a style of shaving the hair whereby the hair near the ears is merely shaved round with no trimming
ekeké,n.,ekeke pẹlẹ́ shave in this way,,a style of shaving the hair (of boys) whereby the hair near the ears is merely shaved round with no trimming; ekeke pẹlẹ́ shave in this way,ekeke pẹlẹ́ shave in this way
ekére¹,n.,wooden slit-gong,,wooden slit-gong; “tomtom”,wooden slit-gong
ekére¹,n.,“tomtom”,,wooden slit-gong; “tomtom”,“tomtom”
ekére²,n.,"soup without okro, “bush mango” seeds, or “egusi”, usually thickened with owéibùrú ekéregù see ekérekù",,"(usu. ekére fụlọụ) soup without okro, “bush mango” seeds, or “egusi”, usually thickened with owéibùrú ekéregù see ekérekù","soup without okro, “bush mango” seeds, or “egusi”, usually thickened with owéibùrú ekéregù see ekérekù"
eke-sụ́ọghà,n.,a store made of mud above the fireplace,,"a store made of mud above the fireplace, usu. for fish [‘rat does not enter’]",a store made of mud above the fireplace
eketé,n.,roundish basket,,roundish basket,roundish basket
ekílekilè,n.,stilt,,stilt(s); ekílekilè wẹnị walk on stilts,stilt
ekílekilè wẹnị,n.,walk on stilts,,stilt(s); ekílekilè wẹnị walk on stilts,walk on stilts
ekirimekí,n.,"core, middle, heart of a thing",,"core, middle, heart of a thing; bou ekírimèki the heart of the forest (ekpe) see under bụ́ra","core, middle, heart of a thing"
bou ekírimèki ,n.,the heart of the forest,,"core, middle, heart of a thing; bou ekírimèki the heart of the forest (ekpe) see under bụ́ra",the heart of the forest
Ekpéin,n.,the name of the founder of Kaiama,,the name of the founder of Kaiama,the name of the founder of Kaiama
Ekpéinbiri,n.,"former name of the town of Kaiama, named after the founder, which still exists and is called when performing some traditional and customary rites",,"former name of the town of Kaiama, named after the founder, which still exists and is called when performing some traditional and customary rites","former name of the town of Kaiama, named after the founder, which still exists and is called when performing some traditional and customary rites"
ekpékpe,n.,"small wooden slit drum with handle, used for proclamations and as musical instrument",,"small wooden slit drum with handle, used for proclamations and as musical instrument; ekpékpe gbele make proclamation, announcement","small wooden slit drum with handle, used for proclamations and as musical instrument"
ekpékpe gbele ,n.,"make proclamation, announcement",,"small wooden slit drum with handle, used for proclamations and as musical instrument; ekpékpe gbele make proclamation, announcement","make proclamation, announcement"
